                                                                                          05 Oct 2016 16:28:24
 AGI Educational Alliance Partner
Planet-Moon:  Relative ECF Position & Velocity


Time (EpSec)        x (km)            y (km)            z (km)       vx (km/sec)    vy (km/sec)    vz (km/sec)
------------    --------------    --------------    -------------    -----------    -----------    -----------
    7218.000    -171174.658240     356387.189931    -15858.504970      25.165430      12.053207       0.350706
   10818.000     -76081.674754     387859.753068    -14595.355303      27.379107       5.338027       0.351038
   14418.000      23838.607047     394413.815086    -13331.065370      27.833000      -1.715739       0.351340
   18018.000     122165.988253     375644.564278    -12065.739934      26.499140      -8.654655       0.351613
   21618.000     212587.065375     332774.449621    -10799.484089      23.464492     -15.033000       0.351857
   25218.000     289300.955167     268573.399138     -9532.403261      18.925274     -20.441420       0.352071
   28818.000     347391.740450     187179.587613     -8264.603198      13.174250     -24.533224       0.352256
   32418.000     383143.701874      93832.368695     -6996.189970       6.581823     -27.046625       0.352412
   36018.000     394279.104833      -5465.369499     -5727.269958      -0.427848     -27.821498       0.352538
   39618.000     380103.314762    -104333.639102     -4457.949855      -7.404171     -26.809581       0.352634
   43218.000     341547.993786    -196425.671861     -3188.336655     -13.899114     -24.077473       0.352701
   46818.000     281109.700993    -275835.705260     -1918.537654     -19.496005     -19.802239       0.352737
   50418.000     202687.953275    -337478.008239      -648.660438     -23.836290     -14.259911       0.352744
   54018.000     111333.269733    -377412.798844       621.187117     -26.642514      -7.807646       0.352721
   57618.000      12921.503540    -393098.151328      1890.896854     -27.736066      -0.860676       0.352668
   61218.000     -86224.510549    -383551.777200      3160.360337     -27.048552       6.134447       0.352584
   64818.000    -179741.600437    -349412.383419      4429.468860     -24.626055      12.728579       0.352470
   68418.000    -261635.010283    -292896.785061      5698.113451     -20.626041      18.498859       0.352326
   72018.000    -326662.979337    -217655.661467      6966.184877     -15.307098      23.075843       0.352152
   75618.000    -370672.452151    -128537.361385      8233.573653      -9.012193      26.167173       0.351947
   79218.000    -390864.403893     -31275.064511      9500.170042      -2.146529      27.576264       0.351712
   82818.000    -385971.822268      67882.485121     10765.864069       4.848576      27.214797       0.351446
   86418.000    -356339.029885     162572.858749     12030.545517      11.524082      25.108245       0.351149
   90018.000    -303897.392756     246728.558829     13294.103944      17.452086      21.394076       0.350822
   93618.000    -232039.131123     314966.101442     14556.428681      22.253270      16.312756       0.350464
   97218.000    -145397.498010     362930.592973     15817.408839      25.621186      10.192154       0.350075
  100818.000     -49547.597307     387573.730973     17076.933322      27.341827       3.426356       0.349655
  104418.000      49352.808797     387347.475941     18334.890826      27.307218      -3.549746       0.349204
  108018.000     144959.328863     362301.091923     19591.169847      25.522179     -10.288440       0.348722
  111618.000     231148.306617     314075.486263     20845.658692      22.103828     -16.357952       0.348210
  115218.000     302409.336941     245795.390131     22098.245480      17.273877     -21.370138       0.347666
  118818.000     354197.751998     161866.485217     23348.818153      11.344219     -25.005317       0.347091
  122418.000     383224.515487      67690.676213     24597.264479       4.696754     -27.032667       0.346484
  126018.000     387665.027753     -30682.057875     25843.472064      -2.241238     -27.324878       0.345847
  129618.000     367273.589900    -126942.762629     27087.328354      -9.024599     -25.866125       0.345178
  133218.000     323396.361368    -214928.501223     28328.720644     -15.218882     -22.752881       0.344478
  136818.000     258882.179246    -289017.215960     29567.536089     -20.428195     -18.187510       0.343747
  140418.000     177897.167848    -344487.137842     30803.661704     -24.320523     -12.465084       0.342984
  144018.000      85655.231832    -377817.753966     32036.984377     -26.648887      -5.954278       0.342189
  147618.000     -11918.099872    -386913.144531     33267.390876     -27.267012       0.926420       0.341364
  151218.000    -108566.772517    -371233.526968     34494.767854     -26.138498       7.735638       0.340506
  154818.000    -198105.704048    -331826.768216     35719.001861     -23.338923      14.037464       0.339618
  158418.000    -274816.888647    -271258.064539     36939.979346     -19.050762      19.429375       0.338697
  162018.000    -333814.716845    -193442.526565     38157.586672     -13.551459      23.567956       0.337745
  165618.000    -371357.159177    -103391.625174     39371.710118      -7.195445      26.190779       0.336762
  169218.000    -385082.989604      -6889.952765     40582.235891      -0.391256      27.133033       0.335746
  172818.000    -374160.017397      89876.816707     41789.050133       6.424760      26.337864       0.334700
  176418.000    -339335.040596     180718.808402     42992.038930      12.816452      23.859761       0.333621
  180018.000    -282882.559201     259838.175737     44191.088320      18.375800      19.860815       0.332511
  183618.000    -208455.784111     322199.293471     45386.084303      22.748971      14.600076       0.331369
  187218.000    -120849.731143     363849.265746     46576.912848      25.658840       8.416744       0.330196
  190818.000     -25691.797488     382168.347305     47763.459904      26.922544       1.708255       0.328991
  194418.000      70920.177069     376034.422256     48945.611406      26.462950      -5.095297       0.327754
  198018.000     162809.052381     345891.234217     50123.253289      24.313325     -11.558761       0.326485
  201618.000     244113.616203     293716.255538     51296.271495      20.614929     -17.269783       0.325185
  205218.000     309662.590365     222890.522337     52464.551979      15.607697     -21.865127       0.323853
  208818.000     355303.538103     137979.032734     53627.980725       9.614640     -25.053774       0.322490
  212418.000     378165.752389      44436.006467     54786.443753       3.020968     -26.635342       0.321095
  216018.000     376840.492410     -51745.928491     55939.827127      -3.750704     -26.512658       0.319668
  219618.000     351467.274357    -144420.025013     57088.016968     -10.267469     -24.697683       0.318209
  223218.000     303720.967849    -227678.510578     58230.899463     -16.113831     -21.310457       0.316719
