                                                                                         05 Oct 2016 16:27:53
 AGI Educational Alliance Partner
Satellite-Satellite1:  Fixed Position & Velocity


Time (EpSec)        x (km)            y (km)           z (km)       vx (km/sec)    vy (km/sec)    vz (km/sec)
------------    --------------    --------------    ------------    -----------    -----------    -----------
    7218.000     -16483.538557      33644.709351    -5195.379619      -0.855263       4.081124       0.318457
   10818.000     -15663.409166      48460.880556    -3879.461532       1.269132       4.071839       0.397249
   14418.000      -7623.236335      62313.610475    -2395.401857       3.155350       3.529821       0.422677
   18018.000       6687.174560      73211.376555     -856.695185       4.733560       2.437030       0.430390
   21618.000      25939.473580      79288.255536      694.826403       5.879682       0.869384       0.430772
   25218.000      48360.866386      79056.677364     2240.862055       6.476957      -1.042205       0.427753
   28818.000      71813.479514      71573.777024     3772.679562       6.442463      -3.128519       0.423067
   32418.000      93944.557051      56552.201706     5285.978401       5.741470      -5.197220       0.417563
   36018.000     112374.751210      34414.326732     6778.693366       4.394627      -7.049149       0.411685
   39618.000     124901.547587       6286.393165     8249.952772       2.479291      -8.495248       0.405673
   43218.000     129697.796353     -26067.755489     9699.545557       0.125561      -9.372977       0.399664
   46818.000     125487.149043     -60369.198969    11127.632832      -2.492480      -9.560945       0.393735
   50418.000     111680.511520     -93994.070839    12534.585086      -5.169520      -8.990539       0.387928
   54018.000      88460.830141    -124178.649775    13920.887288      -7.684771      -7.653574       0.382265
   57618.000      56807.606741    -148243.696548    15287.082330      -9.819483      -5.605249       0.376758
   61218.000      18457.276876    -163820.436440    16633.736900     -11.374825      -2.962078       0.371409
   64818.000     -24199.334525    -169060.058546    17961.420733     -12.188722       0.105156       0.366218
   68418.000     -68276.217541    -162809.487449    19270.694066     -12.150283       3.382989       0.361181
   72018.000    -110597.140080    -144738.433145    20562.100253     -11.210613       6.630592       0.356291
   75618.000    -147931.597641    -115406.188520    21836.161697      -9.389084       9.597722       0.351544
   79218.000    -177244.193138     -76261.073059    23093.377607      -6.774456      12.043957       0.346931
   82818.000    -195938.396050     -29570.477482    24334.223295      -3.520634      13.757765       0.342448
   86418.000    -202075.595708      21715.205756    25559.150127       0.162751      14.573923       0.338086
   90018.000    -194551.778718      74156.307172    26768.586048       4.024333      14.387913       0.333841
   93618.000    -173216.967916     124062.159980    27962.936412       7.788633      13.166107       0.329705
   97218.000    -138926.558455     167757.100521    29142.584947      11.176046      10.950859       0.325672
  100818.000     -93518.590235     201854.818151    30307.894835      13.923741       7.860002       0.321738
  104418.000     -39716.461241     223520.564194    31459.209803      15.805923       4.080626       0.317896
  108018.000      19037.801534     230701.131195    32596.855183      16.651900      -0.142518       0.314143
  111618.000      78809.246781     222304.432334    33721.138994      16.360565      -4.523267       0.310472
  115218.000     135439.538251     198313.844286    34832.352886      14.910092      -8.753829       0.306881
  118818.000     184841.540400     159826.967756    35930.773125      12.362049     -12.526737       0.303364
  122418.000     223297.850036     109013.845384    37016.661437       8.859441     -15.557375       0.299918
  126018.000     247741.366871      48995.512890    38090.265822       4.618722     -17.605429       0.296539
  129618.000     255996.805306     -16350.325002    39151.821312      -0.083801     -18.493665       0.293224
  133218.000     246964.437356     -82644.179380    40201.550648      -4.930292     -18.122581       0.289968
  136818.000     220731.155722    -145303.176732    41239.664899      -9.583205     -16.479758       0.286770
  140418.000     178598.937457    -199862.350736    42266.364019     -13.709082     -13.643127       0.283626
  144018.000     123026.595014    -242296.072868    43281.837374     -17.002640      -9.777757       0.280533
  147618.000      57486.922875    -269316.351527    44286.264165     -19.209398      -5.126270       0.277489
  151218.000     -13752.454716    -278625.906539    45279.813786     -20.145171       0.006566       0.274490
  154818.000     -85910.523863    -269106.732861    46262.646206     -19.710958       5.274074       0.271534
  158418.000    -154017.799763    -240929.123534    47234.912279     -17.902041      10.311367       0.268619
  162018.000    -213262.389125    -195571.553306    48196.753748     -14.810543      14.760878       0.265743
  165618.000    -259332.881256    -135748.047904    49148.303582     -10.621097      18.297921       0.262901
  169218.000    -288733.502369     -65246.245634    50089.686045      -5.599833      20.654445       0.260094
  172818.000    -299048.472853      11314.174849    51021.016597      -0.077326      21.639245       0.257317
  176418.000    -289135.699449      88787.138611    51942.401707       5.573398      21.153120       0.254568
  180018.000    -259234.609844     161849.450678    52853.938886      10.962292      19.197794       0.251845
  183618.000    -210978.788665     225369.779926    53755.716330      15.709437      15.877853       0.249145
  187218.000    -147310.677327     274771.586443    54647.812097      19.471982      11.395442       0.246466
  190818.000     -72302.521372     306364.182699    55530.293946      21.968972       6.037957       0.243804
  194418.000       9105.514589     317617.960050    56403.218217      23.002257       0.159491       0.241156
  198018.000      91433.089040     307363.334290    57266.628564      22.471938      -5.842753       0.238518
  201618.000     169031.344688     275898.031052    58120.554816      20.385161     -11.555505       0.235886
  205218.000     236473.098983     224993.573657    58965.010461      16.857532     -16.578062       0.233255
  208818.000     288934.425188     157798.788467    59799.990536      12.106932     -20.550522       0.230621
  212418.000     322540.696299      78645.398361    60625.467637       6.440054     -23.179627       0.227975
  216018.000     334652.211544      -7232.256849    61441.387601       0.232483     -24.260335       0.225309
  219618.000     324068.434401     -94045.096198    62247.662721      -6.096353     -23.691565       0.222614
  223218.000     291135.252292    -175841.458045    63044.162999     -12.111696     -21.484894       0.219876
  226818.000     237746.276079    -246916.778177    63830.703409     -17.393476     -17.765515       0.217078
